manifest	line	declaration	enabled	region	source_symbol	address	payload	conditions	resolved_address	newgold_definition	original_function	target_file	target_line	original_state	target_section	target_start	mapping	category	current_port_state	dependency	validation	map_line	notes
hooks	8	0012 LoadMegaOam 0226715C 1	True	0012	LoadMegaOam	0x0226715C	1		0x0226715C	asm/battle/battle_hooks.s:41	BattleInput_CreateMainMenuObjects	src/battle/battle_input.c	1875	C	OVY_12	0x02266F84	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85175	-
hooks	9	0012 MegaButtonCheck 02267F04 2	True	0012	MegaButtonCheck	0x02267F04	2		0x02267F04	asm/battle/battle_hooks.s:69	BattleInput_TouchCallback_FightMenu	src/battle/battle_input.c	2366	C	OVY_12	0x02267EF0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85217	-
hooks	10	0012 load_mega_button 0802FBFC 1	True	0012	load_mega_button	0x0802FBFC	1		0x022674BC	asm/battle/battle_hooks.s:55	BattleInput_CreateFightMenuObjects	src/battle/battle_input.c	2042	C	OVY_12	0x0226748C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85190	-
hooks	11	0012 Sub_PokeIconResourceLoad 080308D4 1	True	0012	Sub_PokeIconResourceLoad	0x080308D4	1		0x02268194	src/battle/battle_input.c:169	BattleInput_LoadPokemonIconResources	src/battle/battle_input.c	2531	C	OVY_12	0x02268194	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85229	-
hooks	12	0012 Sub_PokeIconResourceFree 08030954 1	True	0012	Sub_PokeIconResourceFree	0x08030954	1		0x02268214	src/battle/battle_input.c:228	BattleInput_FreePokemonIconResources	src/battle/battle_input.c	2545	C	OVY_12	0x02268214	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85232	-
hooks	13	0012 ServerBeforeAct 08011A4C 2	True	0012	ServerBeforeAct	0x08011A4C	2		0x0224930C	src/battle/battle_start.c:82	BattleControllerPlayer_BeforeTurn	src/battle/battle_controller_player.c	724	C	OVY_12	0x0224930C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81341	-
hooks	14	0012 ServerWazaBefore 08014ACC 2	True	0012	ServerWazaBefore	0x08014ACC	2		0x0224C38C	src/battle/battle_start.c:137	ov12_0224C38C	src/battle/battle_controller_player.c	2647	C	OVY_12	0x0224C38C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81426	-
hooks	16	0012 set_proper_mega_status 0802E8C4 0	True	0012	set_proper_mega_status	0x0802E8C4	0		0x02266184	asm/battle/battle_hooks.s:127	BattleInput_NewInit	src/battle/battle_input.c	1286	C	OVY_12	0x022660D0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85119	-
hooks	18	0012 shift_cancel_over 0802FD6C 0	True	0012	shift_cancel_over	0x0802FD6C	0		0x0226762C	asm/battle/battle_hooks.s:155	BattleInput_CreateFightMenuObjects	src/battle/battle_input.c	2042	C	OVY_12	0x0226748C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	85190	-
hooks	20	0012 ServerHPCalc 08014DD0 2	True	0012	ServerHPCalc	0x08014DD0	2		0x0224C690	src/battle/other_battle_calculators.c:1793;src/individual/ServerHPCalc.c:23	BattleControllerPlayer_HpCalc	src/battle/battle_controller_player.c	2802	C	OVY_12	0x0224C690	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	81439	-
hooks	22	arm9 PokePicLoad 080701EC 1	True	arm9	PokePicLoad	0x080701EC	1		0x020701EC	asm/other_hook.s:7	GetMonSpriteCharAndPlttNarcIdsEx	src/pokemon.c	2186	C	main	0x020701E4	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36708	-
hooks	23	arm9 PokeOtherFormMonsNoGet 08072634 2	True	arm9	PokeOtherFormMonsNoGet	0x08072634	2		0x02072634	src/pokemon.c:89	ResolveMonForm	src/pokemon.c	3992	C	main	0x02072634	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36929	-
hooks	24	arm9 PokeIconIndexGetByMonsNumber 080741BC 3	True	arm9	PokeIconIndexGetByMonsNumber	0x080741BC	3		0x020741BC	src/pokemon.c:199	GetMonIconNaixEx	src/pokemon_icon_idx.c	31	C	main	0x020741BC	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	37107	-
hooks	25	arm9 PokeIconCgxPatternGet 080742CC 1	True	arm9	PokeIconCgxPatternGet	0x080742CC	1		0x020742CC	src/pokemon.c:268	BoxMonGetForm	src/pokemon_icon_idx.c	85	C	main	0x020742CC	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	37113	-
hooks	26	arm9 IconPalGet 08074364 2	True	arm9	IconPalGet	0x08074364	2		0x02074364	asm/other_hook.s:35	GetMonIconPaletteEx	src/pokemon_icon_idx.c	650	C	main	0x02074364	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	37116	-
hooks	27	arm9 ItemDataTableLoad 08078138 1	True	arm9	ItemDataTableLoad	0x08078138	1		0x02078138	src/item.c:490	LoadAllItemData	src/item.c	1036	C	main	0x02078138	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	38146	-
hooks	28	arm9 CreateBoxMonData 0206DED0	True	arm9	CreateBoxMonData	0x0206DED0			0x0206DED0	src/pokemon.c:1355	CreateBoxMon	src/pokemon.c	188	C	main	0x0206DED0	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36584	-
hooks	29	arm9 LoadEggMoves 0806C488 2	True	arm9	LoadEggMoves	0x0806C488	2		0x0206C488	src/pokemon.c:1055	LoadEggMoves	src/get_egg.c	358	C	main	0x0206C488	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36457	-
hooks	30	arm9 InheritMoves 0206C510 3	True	arm9	InheritMoves	0x0206C510	3		0x0206C510	src/pokemon.c:1068	InheritMoves	src/get_egg.c	391	C	main	0x0206C510	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36460	-
hooks	31	arm9 GetMonEvolution 02070E34	True	arm9	GetMonEvolution	0x02070E34			0x02070E34	src/pokemon.c:1132;src/pokemon.c:1162	GetMonEvolution	src/pokemon.c	2782	C	main	0x02070E34	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	36753	-
hooks	32	0007 hook_7_spriteOffsetSpecies 08018A48 3	True	0007	hook_7_spriteOffsetSpecies	0x08018A48	3		0x02234868	asm/other_hook.s:115	ov07_0223476C	asm/overlay_07.s	50840	ASM	OVY_7	0x0223476C	SYMBOL RANGE	executable logic	MAPPED	Feature-level semantic/dependency analysis required	NOT RUN	75561	-
