ndex,name,shape
1,Bulbasaur,8
2,Ivysaur,8
3,Venusaur,8
4,Charmander,6
5,Charmeleon,6
6,Charizard,6
7,Squirtle,6
8,Wartortle,6
9,Blastoise,6
10,Caterpie,14
11,Metapod,2
12,Butterfree,13
13,Weedle,14
14,Kakuna,2
15,Beedrill,13
16,Pidgey,9
17,Pidgeotto,9
18,Pidgeot,9
19,Rattata,8
20,Raticate,8
21,Spearow,9
22,Fearow,9
23,Ekans,2
24,Arbok,2
25,Pikachu,8
26,Raichu,6
27,Sandshrew,6
28,Sandslash,6
29,Nidoran♀,8
30,Nidorina,8
31,Nidoqueen,6
32,Nidoran♂,8
33,Nidorino,8
34,Nidoking,6
35,Clefairy,6
36,Clefable,6
37,Vulpix,8
38,Ninetales,8
39,Jigglypuff,12
40,Wigglytuff,12
41,Zubat,9
42,Golbat,9
43,Oddish,7
44,Gloom,12
45,Vileplume,12
46,Paras,14
47,Parasect,14
48,Venonat,12
49,Venomoth,13
50,Diglett,5
51,Dugtrio,11
52,Meowth,8
53,Persian,8
54,Psyduck,6
55,Golduck,6
56,Mankey,6
57,Primeape,6
58,Growlithe,8
59,Arcanine,8
60,Poliwag,7
61,Poliwhirl,12
62,Poliwrath,12
63,Abra,6
64,Kadabra,6
65,Alakazam,12
66,Machop,6
67,Machoke,12
68,Machamp,12
69,Bellsprout,12
70,Weepinbell,5
71,Victreebel,5
72,Tentacool,10
73,Tentacruel,10
74,Geodude,4
75,Graveler,12
76,Golem,12
77,Ponyta,8
78,Rapidash,8
79,Slowpoke,8
80,Slowbro,6
81,Magnemite,4
82,Magneton,11
83,Farfetch'd,9
84,Doduo,7
85,Dodrio,7
86,Seel,3
87,Dewgong,3
88,Grimer,4
89,Muk,4
90,Shellder,1
91,Cloyster,1
92,Gastly,1
93,Haunter,4
94,Gengar,6
95,Onix,2
96,Drowzee,12
97,Hypno,12
98,Krabby,14
99,Kingler,14
100,Voltorb,1
101,Electrode,1
102,Exeggcute,11
103,Exeggutor,7
104,Cubone,6
105,Marowak,6
106,Hitmonlee,12
107,Hitmonchan,12
108,Lickitung,6
109,Koffing,1
110,Weezing,11
111,Rhyhorn,8
112,Rhydon,6
113,Chansey,6
114,Tangela,7
115,Kangaskhan,6
116,Horsea,5
117,Seadra,5
118,Goldeen,3
119,Seaking,3
120,Staryu,5
121,Starmie,5
122,Mr. Mime,12
123,Scyther,13
124,Jynx,12
125,Electabuzz,6
126,Magmar,6
127,Pinsir,12
128,Tauros,8
129,Magikarp,3
130,Gyarados,2
131,Lapras,3
132,Ditto,1
133,Eevee,8
134,Vaporeon,8
135,Jolteon,8
136,Flareon,8
137,Porygon,7
138,Omanyte,10
139,Omastar,10
140,Kabuto,14
141,Kabutops,6
142,Aerodactyl,9
143,Snorlax,12
144,Articuno,9
145,Zapdos,9
146,Moltres,9
147,Dratini,2
148,Dragonair,2
149,Dragonite,6
150,Mewtwo,6
151,Mew,6
152,Chikorita,8
153,Bayleef,8
154,Meganium,8
155,Cyndaquil,12
156,Quilava,8
157,Typhlosion,8
158,Totodile,6
159,Croconaw,6
160,Feraligatr,6
161,Sentret,8
162,Furret,8
163,Hoothoot,9
164,Noctowl,9
165,Ledyba,9
166,Ledian,9
167,Spinarak,14
168,Ariados,14
169,Crobat,13
170,Chinchou,3
171,Lanturn,3
172,Pichu,8
173,Cleffa,6
174,Igglybuff,12
175,Togepi,12
176,Togetic,12
177,Natu,9
178,Xatu,9
179,Mareep,8
180,Flaaffy,6
181,Ampharos,6
182,Bellossom,12
183,Marill,6
184,Azumarill,6
185,Sudowoodo,12
186,Politoed,12
187,Hoppip,6
188,Skiploom,6
189,Jumpluff,6
190,Aipom,6
191,Sunkern,1
192,Sunflora,12
193,Yanma,13
194,Wooper,7
195,Quagsire,6
196,Espeon,8
197,Umbreon,8
198,Murkrow,9
199,Slowking,6
200,Misdreavus,1
201,Unown,1
202,Wobbuffet,5
203,Girafarig,8
204,Pineco,1
205,Forretress,1
206,Dunsparce,2
207,Gligar,9
208,Steelix,2
209,Snubbull,12
210,Granbull,6
211,Qwilfish,3
212,Scizor,13
213,Shuckle,14
214,Heracross,12
215,Sneasel,6
216,Teddiursa,6
217,Ursaring,6
218,Slugma,2
219,Magcargo,2
220,Swinub,8
221,Piloswine,8
222,Corsola,14
223,Remoraid,3
224,Octillery,10
225,Delibird,9
226,Mantine,9
227,Skarmory,9
228,Houndour,8
229,Houndoom,8
230,Kingdra,5
231,Phanpy,8
232,Donphan,8
233,Porygon2,7
234,Stantler,8
235,Smeargle,6
236,Tyrogue,12
237,Hitmontop,6
238,Smoochum,12
239,Elekid,12
240,Magby,6
241,Miltank,6
242,Blissey,12
243,Raikou,8
244,Entei,8
245,Suicune,8
246,Larvitar,6
247,Pupitar,2
248,Tyranitar,6
249,Lugia,9
250,Ho-Oh,9
251,Celebi,12
252,Treecko,6
253,Grovyle,6
254,Sceptile,6
255,Torchic,7
256,Combusken,6
257,Blaziken,6
258,Mudkip,8
259,Marshtomp,6
260,Swampert,6
261,Poochyena,8
262,Mightyena,8
263,Zigzagoon,8
264,Linoone,8
265,Wurmple,14
266,Silcoon,1
267,Beautifly,13
268,Cascoon,1
269,Dustox,13
270,Lotad,14
271,Lombre,12
272,Ludicolo,12
273,Seedot,7
274,Nuzleaf,12
275,Shiftry,12
276,Taillow,9
277,Swellow,9
278,Wingull,9
279,Pelipper,9
280,Ralts,12
281,Kirlia,12
282,Gardevoir,12
283,Surskit,14
284,Masquerain,13
285,Shroomish,7
286,Breloom,6
287,Slakoth,8
288,Vigoroth,6
289,Slaking,12
290,Nincada,14
291,Ninjask,13
292,Shedinja,5
293,Whismur,6
294,Loudred,6
295,Exploud,6
296,Makuhita,12
297,Hariyama,12
298,Azurill,7
299,Nosepass,12
300,Skitty,8
301,Delcatty,8
302,Sableye,12
303,Mawile,12
304,Aron,8
305,Lairon,8
306,Aggron,6
307,Meditite,12
308,Medicham,12
309,Electrike,8
310,Manectric,8
311,Plusle,6
312,Minun,6
313,Volbeat,6
314,Illumise,12
315,Roselia,12
