reference_id,reference_name,item_id,item_name
0,ITEM_NONE,0,ITEM_NONE
1,ITEM_MASTER_BALL,1,ITEM_MASTER_BALL
2,ITEM_ULTRA_BALL,2,ITEM_ULTRA_BALL
3,ITEM_GREAT_BALL,3,ITEM_GREAT_BALL
4,ITEM_POKE_BALL,4,ITEM_POKE_BALL
5,ITEM_SAFARI_BALL,5,ITEM_SAFARI_BALL
6,ITEM_NET_BALL,6,ITEM_NET_BALL
7,ITEM_DIVE_BALL,7,ITEM_DIVE_BALL
8,ITEM_NEST_BALL,8,ITEM_NEST_BALL
9,ITEM_REPEAT_BALL,9,ITEM_REPEAT_BALL
10,ITEM_TIMER_BALL,10,ITEM_TIMER_BALL
11,ITEM_LUXURY_BALL,11,ITEM_LUXURY_BALL
12,ITEM_PREMIER_BALL,12,ITEM_PREMIER_BALL
13,ITEM_DUSK_BALL,13,ITEM_DUSK_BALL
14,ITEM_HEAL_BALL,14,ITEM_HEAL_BALL
15,ITEM_QUICK_BALL,15,ITEM_QUICK_BALL
16,ITEM_CHERISH_BALL,16,ITEM_CHERISH_BALL
17,ITEM_POTION,17,ITEM_POTION
18,ITEM_ANTIDOTE,18,ITEM_ANTIDOTE
19,ITEM_BURN_HEAL,19,ITEM_BURN_HEAL
20,ITEM_ICE_HEAL,20,ITEM_ICE_HEAL
21,ITEM_AWAKENING,21,ITEM_AWAKENING
22,ITEM_PARALYZE_HEAL,22,ITEM_PARLYZ_HEAL
23,ITEM_FULL_RESTORE,23,ITEM_FULL_RESTORE
24,ITEM_MAX_POTION,24,ITEM_MAX_POTION
25,ITEM_HYPER_POTION,25,ITEM_HYPER_POTION
26,ITEM_SUPER_POTION,26,ITEM_SUPER_POTION
27,ITEM_FULL_HEAL,27,ITEM_FULL_HEAL
28,ITEM_REVIVE,28,ITEM_REVIVE
29,ITEM_MAX_REVIVE,29,ITEM_MAX_REVIVE
30,ITEM_FRESH_WATER,30,ITEM_FRESH_WATER
31,ITEM_SODA_POP,31,ITEM_SODA_POP
32,ITEM_LEMONADE,32,ITEM_LEMONADE
33,ITEM_MOOMOO_MILK,33,ITEM_MOOMOO_MILK
34,ITEM_ENERGY_POWDER,34,ITEM_ENERGYPOWDER
35,ITEM_ENERGY_ROOT,35,ITEM_ENERGY_ROOT
36,ITEM_HEAL_POWDER,36,ITEM_HEAL_POWDER
